,HANDLE_OAPEN_Library_ID,Publication_type,Publication_title,Publication_subtitle,Publication_ISBN,Publication_author,Publication_editor,Pubilcation_year,Publication_publisher,Publication_language,English_yes_no,Country,Continent,National_languages,Title_downloads,English_text_mining,Country_mentioned_yes_no,Country_score,Total_downloads_OAPEN_Library
10,20.500.12657/26530,book,Upotreblenie vidov glagola v russkom jazyke,,9783876901978,"Rassudova, Ol'ga P",,1981,Peter Lang International Academic Publishers,Russian[rus],Non-English,Bulgaria,Europe,Bulgarian,32.0,,,4.0,376.0
11,20.500.12657/27183,book,Marina Cvetaeva,Studien und Materialien,9783631740910,,"Lampl, Horst||Hansen-Löve, Aage A.",1981,Peter Lang International Academic Publishers,English[eng]||German[ger]||Russian[rus],Non-English,Kazakhstan,Asia,Kazakh; Russian,137.0,,,7.0,1989.0
12,20.500.12657/27183,book,Marina Cvetaeva,Studien und Materialien,9783631740910,,"Lampl, Horst||Hansen-Löve, Aage A.",1981,Peter Lang International Academic Publishers,English[eng]||German[ger]||Russian[rus],Non-English,Uzbekistan,Asia,Uzbek,78.0,,,6.0,873.0
13,20.500.12657/27183,book,Marina Cvetaeva,Studien und Materialien,9783631740910,,"Lampl, Horst||Hansen-Löve, Aage A.",1981,Peter Lang International Academic Publishers,English[eng]||German[ger]||Russian[rus],Non-English,Belarus,Europe,Belarusian; Russian,142.0,,,10.0,1182.0
14,20.500.12657/27183,book,Marina Cvetaeva,Studien und Materialien,9783631740910,,"Lampl, Horst||Hansen-Löve, Aage A.",1981,Peter Lang International Academic Publishers,English[eng]||German[ger]||Russian[rus],Non-English,Russian Federation,Europe,Russian,952.0,,,10.0,11477.0
15,20.500.12657/27183,book,Marina Cvetaeva,Studien und Materialien,9783631740910,,"Lampl, Horst||Hansen-Löve, Aage A.",1981,Peter Lang International Academic Publishers,English[eng]||German[ger]||Russian[rus],Non-English,Ukraine,Europe,Ukranian,778.0,,,9.0,3364.0
16,20.500.12657/27183,book,Marina Cvetaeva,Studien und Materialien,9783631740910,,"Lampl, Horst||Hansen-Löve, Aage A.",1981,Peter Lang International Academic Publishers,English[eng]||German[ger]||Russian[rus],Non-English,Georgia,Europe,Georgian,38.0,,,6.0,466.0
17,20.500.12657/27183,book,Marina Cvetaeva,Studien und Materialien,9783631740910,,"Lampl, Horst||Hansen-Löve, Aage A.",1981,Peter Lang International Academic Publishers,English[eng]||German[ger]||Russian[rus],Non-English,Latvia,Europe,Latvian,79.0,,,6.0,541.0
18,20.500.12657/32273,book,Migration and Its Alternatives among the Iban of Sarawak,,9789024761838,"Padoch, C.",,1982,Brill,English[eng],English only,Malaysia,Asia,Malay,185.0,5 human fertility agricultural methods labor 4 agricultural methods balai ringin protected ringin protected forest age specific fertility shifting cultivation systems specific fertility rates upper batang ai freeman's research sites iban shifting cultivators population growth rates research sites land sungai pelai residents swamp rice cultivation wage labor migration york united nations 1966 boserup 1965 clarke 1966 boserup government printing office kuching government printing land tenure rules lower batang lupar nagas london macmillan ninth pacific science pacific science congress pringle 1970 26 temporary wage labor wee ding requirements 1 agricultural methods,No mention,2.0,2630.0
19,20.500.12657/26458,book,Pegaz dęba,,9783876903392,"Tuwim, Julian",,1986,Peter Lang International Academic Publishers,German[ger]||Polish[pol],Non-English,France,Europe,French,2866.0,,,8.0,10300.0
20,20.500.12657/26458,book,Pegaz dęba,,9783876903392,"Tuwim, Julian",,1986,Peter Lang International Academic Publishers,German[ger]||Polish[pol],Non-English,Poland,Europe,Polish,639.0,,,2.0,2588.0
21,20.500.12657/26475,book,České stupňování,Degrees of comparison in Czech,9783876903040,"Marvan, Jirí",,1986,Peter Lang International Academic Publishers,German[ger],Non-English,Czech Republic,Europe,Czech; Slovak,73.0,,,5.0,1181.0
22,20.500.12657/27130,book,Die Deutschen in Ungarn,,9783631743317,,"Brunner, Georg",1989,Peter Lang International Academic Publishers,German[ger],Non-English,Hungary,Europe,Hungarian,62.0,,,3.0,1116.0
23,20.500.12657/27205,book,Romany I. Il'fa i E. Petrova. Sputnik čitatel'ja. 2 toma. 1-yj tom. Vvedenie. Dvenadcat' stul'ev,,9783631740491,"Šceglov, Jurij K.",,1990,Peter Lang International Academic Publishers,Russian[rus],Non-English,Belarus,Europe,Belarusian; Russian,85.0,,,10.0,1182.0
24,20.500.12657/27205,book,Romany I. Il'fa i E. Petrova. Sputnik čitatel'ja. 2 toma. 1-yj tom. Vvedenie. Dvenadcat' stul'ev,,9783631740491,"Šceglov, Jurij K.",,1990,Peter Lang International Academic Publishers,Russian[rus],Non-English,Russian Federation,Europe,Russian,698.0,,,10.0,11477.0
25,20.500.12657/27205,book,Romany I. Il'fa i E. Petrova. Sputnik čitatel'ja. 2 toma. 1-yj tom. Vvedenie. Dvenadcat' stul'ev,,9783631740491,"Šceglov, Jurij K.",,1990,Peter Lang International Academic Publishers,Russian[rus],Non-English,Ukraine,Europe,Ukranian,346.0,,,9.0,3364.0
26,20.500.12657/26338,book,Kul't chleba u vostočnych slavjan. Opyt etnolingvističeskogo issledovanija,,9783876904924,"Strachov, Aleksandr B.",,1991,Peter Lang International Academic Publishers,German[ger],Non-English,Belarus,Europe,Belarusian; Russian,81.0,,,10.0,1182.0
27,20.500.12657/26338,book,Kul't chleba u vostočnych slavjan. Opyt etnolingvističeskogo issledovanija,,9783876904924,"Strachov, Aleksandr B.",,1991,Peter Lang International Academic Publishers,German[ger],Non-English,Ukraine,Europe,Ukranian,226.0,,,9.0,3364.0
28,20.500.12657/26353,book,Josef Jungmann a obrozenská terminologie literárně vědná a linguistická,"Nachdruck der Ausgabe Praha, Nákl. České Akad. Věd a Umění, 1948",9783876904733,"Jedlicka, Alois",,1991,Peter Lang International Academic Publishers,German[ger],Non-English,Czech Republic,Europe,Czech; Slovak,114.0,,,5.0,1181.0
29,20.500.12657/27133,book,Albanien in Vergangenheit und Gegenwart,,9783631743287,,"Grothusen, Klaus-Detlev",1991,Peter Lang International Academic Publishers,German[ger],Non-English,Albania,Europe,Albanian,29.0,,,5.0,993.0
30,20.500.12657/27210,book,Poetičeskij mir Cvetaevoj. Konflikt liričeskogo geroja i dejstvitel'nosti,,9783631740361,"El'nickaja, Svetlana",,1991,Peter Lang International Academic Publishers,Russian[rus],Non-English,Kazakhstan,Asia,Kazakh; Russian,93.0,,,7.0,1989.0
31,20.500.12657/27210,book,Poetičeskij mir Cvetaevoj. Konflikt liričeskogo geroja i dejstvitel'nosti,,9783631740361,"El'nickaja, Svetlana",,1991,Peter Lang International Academic Publishers,Russian[rus],Non-English,Russian Federation,Europe,Russian,853.0,,,10.0,11477.0
32,20.500.12657/27210,book,Poetičeskij mir Cvetaevoj. Konflikt liričeskogo geroja i dejstvitel'nosti,,9783631740361,"El'nickaja, Svetlana",,1991,Peter Lang International Academic Publishers,Russian[rus],Non-English,Ukraine,Europe,Ukranian,240.0,,,9.0,3364.0
33,20.500.12657/27210,book,Poetičeskij mir Cvetaevoj. Konflikt liričeskogo geroja i dejstvitel'nosti,,9783631740361,"El'nickaja, Svetlana",,1991,Peter Lang International Academic Publishers,Russian[rus],Non-English,Latvia,Europe,Latvian,43.0,,,6.0,541.0
34,20.500.12657/26293,book,Metafora vlasti,Literatura stalinskoj epochi v istoričeskom osveščenii,9783876905563,"Dobrenko, Evgenij A.",,1993,Peter Lang International Academic Publishers,Russian[rus],Non-English,Kazakhstan,Asia,Kazakh; Russian,214.0,,,7.0,1989.0
35,20.500.12657/26293,book,Metafora vlasti,Literatura stalinskoj epochi v istoričeskom osveščenii,9783876905563,"Dobrenko, Evgenij A.",,1993,Peter Lang International Academic Publishers,Russian[rus],Non-English,Belarus,Europe,Belarusian; Russian,142.0,,,10.0,1182.0
36,20.500.12657/26293,book,Metafora vlasti,Literatura stalinskoj epochi v istoričeskom osveščenii,9783876905563,"Dobrenko, Evgenij A.",,1993,Peter Lang International Academic Publishers,Russian[rus],Non-English,Russian Federation,Europe,Russian,2480.0,,,10.0,11477.0
37,20.500.12657/26293,book,Metafora vlasti,Literatura stalinskoj epochi v istoričeskom osveščenii,9783876905563,"Dobrenko, Evgenij A.",,1993,Peter Lang International Academic Publishers,Russian[rus],Non-English,Ukraine,Europe,Ukranian,542.0,,,9.0,3364.0
38,20.500.12657/26293,book,Metafora vlasti,Literatura stalinskoj epochi v istoričeskom osveščenii,9783876905563,"Dobrenko, Evgenij A.",,1993,Peter Lang International Academic Publishers,Russian[rus],Non-English,Georgia,Europe,Georgian,31.0,,,6.0,466.0
39,20.500.12657/26293,book,Metafora vlasti,Literatura stalinskoj epochi v istoričeskom osveščenii,9783876905563,"Dobrenko, Evgenij A.",,1993,Peter Lang International Academic Publishers,Russian[rus],Non-English,Latvia,Europe,Latvian,97.0,,,6.0,541.0
40,20.500.12657/26276,book,Elemente des Čechovschen Dialogs im zeitgenoessischen russischen Drama,,9783876905846,"Scheffler, Birgit",,1994,Peter Lang International Academic Publishers,German[ger],Non-English,Egypt,Africa,Arabic,113.0,,,4.0,2274.0
41,20.500.12657/26277,book,Russkij jazyk konca XX stoletija,,9783876905839,"Dulicenko, Aleksandr D.",,1994,Peter Lang International Academic Publishers,Russian[rus],Non-English,Kazakhstan,Asia,Kazakh; Russian,131.0,,,7.0,1989.0
42,20.500.12657/26277,book,Russkij jazyk konca XX stoletija,,9783876905839,"Dulicenko, Aleksandr D.",,1994,Peter Lang International Academic Publishers,Russian[rus],Non-English,Uzbekistan,Asia,Uzbek,136.0,,,6.0,873.0
43,20.500.12657/26277,book,Russkij jazyk konca XX stoletija,,9783876905839,"Dulicenko, Aleksandr D.",,1994,Peter Lang International Academic Publishers,Russian[rus],Non-English,Belarus,Europe,Belarusian; Russian,59.0,,,10.0,1182.0
44,20.500.12657/26277,book,Russkij jazyk konca XX stoletija,,9783876905839,"Dulicenko, Aleksandr D.",,1994,Peter Lang International Academic Publishers,Russian[rus],Non-English,Russian Federation,Europe,Russian,1003.0,,,10.0,11477.0
45,20.500.12657/26277,book,Russkij jazyk konca XX stoletija,,9783876905839,"Dulicenko, Aleksandr D.",,1994,Peter Lang International Academic Publishers,Russian[rus],Non-English,Ukraine,Europe,Ukranian,265.0,,,9.0,3364.0
46,20.500.12657/26277,book,Russkij jazyk konca XX stoletija,,9783876905839,"Dulicenko, Aleksandr D.",,1994,Peter Lang International Academic Publishers,Russian[rus],Non-English,Georgia,Europe,Georgian,30.0,,,6.0,466.0
47,20.500.12657/26285,book,Aleksej Kručenych v svidetel'stvach sovremennikov,"Sostavlenie, vstupitel'naja stat'ja, podgotovka teksta i kommentarii Sergeja Suchoparova",9783876905693,,"Suchoparov, Sergej M.",1994,Peter Lang International Academic Publishers,Russian[rus],Non-English,Belarus,Europe,Belarusian; Russian,60.0,,,10.0,1182.0
48,20.500.12657/26285,book,Aleksej Kručenych v svidetel'stvach sovremennikov,"Sostavlenie, vstupitel'naja stat'ja, podgotovka teksta i kommentarii Sergeja Suchoparova",9783876905693,,"Suchoparov, Sergej M.",1994,Peter Lang International Academic Publishers,Russian[rus],Non-English,Russian Federation,Europe,Russian,764.0,,,10.0,11477.0
49,20.500.12657/26285,book,Aleksej Kručenych v svidetel'stvach sovremennikov,"Sostavlenie, vstupitel'naja stat'ja, podgotovka teksta i kommentarii Sergeja Suchoparova",9783876905693,,"Suchoparov, Sergej M.",1994,Peter Lang International Academic Publishers,Russian[rus],Non-English,Ukraine,Europe,Ukranian,210.0,,,9.0,3364.0
50,20.500.12657/26227,book,Sobranie sočinenij. Gesammelte Werke,Teil 2: Rasskazy (1909-1921),9783876906638,"Sologub, Fëdor","Steltner, Ulrich",1996,Peter Lang International Academic Publishers,German[ger],Non-English,Belarus,Europe,Belarusian; Russian,67.0,,,10.0,1182.0
51,20.500.12657/26227,book,Sobranie sočinenij. Gesammelte Werke,Teil 2: Rasskazy (1909-1921),9783876906638,"Sologub, Fëdor","Steltner, Ulrich",1996,Peter Lang International Academic Publishers,German[ger],Non-English,Ukraine,Europe,Ukranian,166.0,,,9.0,3364.0
52,20.500.12657/33011,book,Teaching Translation from Spanish to English,Worlds Beyond Words,9780776603995,"Beeby-Lonsdale, Allison",,1996,University of Ottawa Press / Les Presses de l’Université d’Ottawa,English[eng],English only,Spain,Europe,Spanish,182.0,translator communicative competence prose translation class estructura económica internacional ideal translator communicative 1992 la composición la composición escrita selected structural contrasts fernández 1992 la garcía fernández 1992 discours comme méthode du discours comme l'analyse du discours m.p garcía fernández student translator communicative datos básicos el el coob 92 material deportivo oficial mc sí señora rq sí señor washington dc george la traductología washington los estados unidos roberto quesada murillo task sheet 31 traductología washington dc vázquez ayora 1977,No mention,4.0,2626.0
53,20.500.12657/33011,book,Teaching Translation from Spanish to English,Worlds Beyond Words,9780776603995,"Beeby-Lonsdale, Allison",,1996,University of Ottawa Press / Les Presses de l’Université d’Ottawa,English[eng],English only,Costa Rica,South America,Spanish,59.0,translator communicative competence prose translation class estructura económica internacional ideal translator communicative 1992 la composición la composición escrita selected structural contrasts fernández 1992 la garcía fernández 1992 discours comme méthode du discours comme l'analyse du discours m.p garcía fernández student translator communicative datos básicos el el coob 92 material deportivo oficial mc sí señora rq sí señor washington dc george la traductología washington los estados unidos roberto quesada murillo task sheet 31 traductología washington dc vázquez ayora 1977,No mention,6.0,485.0
54,20.500.12657/26220,book,Das slavische Lehngut im Albanischen,Teil 1: Lehnwoerter,9783876906706,"Ylli, Xhelal",,1997,Peter Lang International Academic Publishers,German[ger],Non-English,Albania,Europe,Albanian,27.0,,,5.0,993.0
55,20.500.12657/26222,book,"Das altkirchenslavische Wort. Bildung, Bedeutung, Herleitung",Altkirchenslavische Studien Teil 1,9783876906683,"Birnbaum, Henrik||Schaeken, Jos",,1997,Peter Lang International Academic Publishers,German[ger],Non-English,Slovakia,Europe,Slovak,35.0,,,1.0,399.0
56,20.500.12657/27220,book,Teoretičeskaja i praktičeskaja leksikografija,,9783631740248,"Dubicinskij, Vladimir V.",,1998,Peter Lang International Academic Publishers,Russian[rus],Non-English,Kazakhstan,Asia,Kazakh; Russian,95.0,,,7.0,1989.0
57,20.500.12657/27220,book,Teoretičeskaja i praktičeskaja leksikografija,,9783631740248,"Dubicinskij, Vladimir V.",,1998,Peter Lang International Academic Publishers,Russian[rus],Non-English,Uzbekistan,Asia,Uzbek,142.0,,,6.0,873.0
58,20.500.12657/27220,book,Teoretičeskaja i praktičeskaja leksikografija,,9783631740248,"Dubicinskij, Vladimir V.",,1998,Peter Lang International Academic Publishers,Russian[rus],Non-English,Belarus,Europe,Belarusian; Russian,62.0,,,10.0,1182.0
