Author/Writer,About the Author,AuthorID
K.L. Sharma (Ed.)," K.L. Sharma is the founder of Indian Gerontological Association and the founder editor of “Indian Journal of Gerontology.” He has published 12 books and more than 60 papers on various issues covering multiple subjects like psychology, philosophy, education and gerontology in Indian and foreign journals. He has also presented papers at national and international seminars. Dr. Sharma is one of the nine partners of International Initiative for the Care of Elderly, a program of NICE, University of Toronto, (Canada) and a member of International Federation on Ageing, Montreal, Canada.  Dr. Sharma holds dual Masters (Psychology and Philosophy) and a Doctorate in Philosophy from the University of Rajasthan, Jaipur where he has taught Psychology and Philosophy for 36 years.",11
Majid Husain,"Majid Husain was former Professor of Geography, Jamia Millia Islamia (Central University), New Delhi. Having a high degree of commitment to teaching and research, Dr. Husain had an unparalleled ability to simplify the difficult concepts of geography and capacity to analyze the enormous facts in a cogent manner. His books, Evolution of Geographical Thought, Human Geography, World Geography, Fundamentals of Physical Geography, Models in Geography and Geography of Jammu and Kashmir are widely acclaimed and accepted as text and reference books, both in India and abroad.",12
"Punyatoya Patra, Roshani Devi and Gaurav Sikka (eds)","PUNYATOYA PATRA, Associate Professor, Department of Geography, Aditi Mahavidyalaya, University of Delhi.ROSHANI DEVI, Assistant Professor of Geography, Aditi Mahavidyalaya, University of Delhi. Her research interests include Resource Management and Environmental Studies.GAURAV SIKKA, Assistant Professor, University Department of Geography, L.N. Mithila University, Bihar.",13
Alpana Kateja (Ed.),"Alpana Kateja is a Professor of Economics at University of Rajasthan, Jaipur. She also holds the position of Principal, University Maharani College, Jaipur. Gold medallist in Economics from Sukhadia University, she has formerly been associated with Banaras Hindu University, Varanasi and JNV University, Jodhpur. She has published extensively in national and international journals of repute. She has undertaken research projects in the areas of regional economics, health and environment funded by different agencies including UGC and ICSSR.",14
Rajesh Rajora,"Dr Rajesh Rajora, IAS, has a vast experience of implementation of watershed programmes. As Additional Collector, Jhabua (M.P.), Executive Director, District Rural Development Agency, Jhabua and Project Director, Rajiv Gandhi Mission on Watershed Development, he had been instrumental in formulating, planning and executing watershed projects in a holistic manner. He has postulated watershed as a unit of development, rather than just a geo-hydrological unit, thereby evolving the ‘Jhabua model’ of Integrated Watershed Management. He has also supervised and monitored projects on watershed management sponsored by FAO, ILO, WFP, DANIDA and ODA. He had been posted as District Collectors of Dhar, Balaghat, Ujjain and Indore between 1998 to 2005.Dr Rajora is currently Principal Secretary, Department of Industrial Policy  Investment Promotion, and Department of Public Relations, Government of Madhya Pradesh. He also served for six years as Principal Secretary, Department of Agriculture, Horticulture and Food Processing, Government of Madhya Pradesh.",15
Lynne R. Parenti and Malte C. Ebach,"Lynne R. Parenti is Curator of Fishes and Research Scientist at the National Museum of Natural History in the Smithsonian Institution; coeditor, with R. Claro and K. C. Lindeman, of Ecology of the Marine Fishes of Cuba; and coauthor, with C. J. Humphries, of Cladistic Biogeography.Malte C. Ebach is a Postdoctoral Fellow at Arizona State University’s International Institute for Species Exploration and coauthor, with D.M. Williams, of Foundations of Systematics and Biogeography.",16
"M. Srinivasa Reddy, Sanjit Kumar Rout and V. Ratna Reddy","M. Srinivasa Reddy is Assistant Professor at Centre for Economic and Social Studies (CESS), Hyderabad. He has been associated with several research projects sponsored by both national and international agencies at CESS. His major research interests include: groundwater management/ governance/water use efficiency, natural resource management, agriculture, rural development, participatory resource management with specific focus on social exclusion, education, employment and poverty of marginalised groups.Sanjit Kumar Rout is currently working as an Economist at Livelihoods and Natural Resource Management Institute (LNRMI), Hyderabad. He holds a PhD in development studies from Centre for Economic and Social Studies, Hyderabad. He was awarded a Commonwealth Split-site Doctoral Scholarship by Commonwealth Scholarship Commission, UK in 2006-07. He has been working in the areas of natural resource management and livelihoods with specific focus on watershed development for last several years.V. Ratna Reddy is Director, Livelihoods and Natural Resource Management Institute, Hyderabad. Having a rich experience of over 30 years in the fields of agriculture and rural development, he worked extensively on natural resource management, livelihoods and environmental economics with specific focus on watershed development and water. He has post-doctoral experience as an Alexander von Humboldt Research Fellow at the South Asian Institute, Heidelberg, Germany; and Visiting Fellow at the Institute of Development Studies, Sussex, UK; Department of Geography, Leeds University, UK. He has worked as consultant to number of organizations such as World Bank, ADB, UNDP, etc.",17
Arun Kumar Nayak,"Arun Kumar Nayak, a trained political scientist from Jawaharlal Nehru University, New Delhi, is presently working as Assistant Professor in the Department of Political Science, Government Degree College, Santirbazar, Tripura. His wide interests in research include dynamics of development, marginalization, human rights and social movements. He has been writing extensively on these issues and many of his articles have been published in reputed journals. ",18
A.S. Kapoor ,"A.S. Kapoor, graduated in Civil Engineering from the University of Roorkee, India, received training at the U.S. Bureau of Reclamation, Army Corps of Engineers and also pursued post-graduate courses on advanced soil mechanics and applied hydrology at the University of Colorado. He published many papers and has also received several awards.Besides working extensively on the Rajasthan Canal Project, he also provided consultancy services in the field of irrigation and drainage in many countries as well as to the World Bank, the FAO and the USAID. ",19
Madhusudan Bandi ,"Madhusudan Bandi is a political scientist with specialisation in Development Studies. Besides Ph.D. and M.Phil., he also holds a Degree in Law. Presently, he is an Assistant Professor with the Gujarat Institute of Development Research, Ahmedabad.He has been a recipient of the Split-Site Commonwealth Scholarship by Association of Commonwealth Universities and the British Council, London, United Kingdom, and the Indian Council of Social Science Research Institutional Doctoral Fellowship for his Ph.D.His academic experience comprises both teaching and research. He has been associated with various projects at the reputed research institutions like CESS and Livelihoods and Natural Resource Management Institute in Hyderabad. His research interests include decentralised governance, participatory forest management, development concerns of the underprivileged sections in India and current affairs. He has to his credit publications in professional journals and edited volumes. ",20
Seema Bathla,"Seema Bathla is Associate Professor, Centre for the Study of Regional Development, Jawaharlal Nehru University, New Delhi. She obtained her M.Phil from Delhi School of Economics and Ph.D. from Jawaharlal Nehru University, New Delhi. Earlier, she has also worked in the Institute of Economic Growth and TERI. She has to her credit one book (co-authored) and several research articles in refereed national and international journals. She has undertaken several assignments for UNCTAD, WWF-India, JAICAF and IASRI. She is the recipient of the Jawaharlal Nehru Award for Outstanding Post-Graduate Agricultural Research by the ICAR in 2009 for her doctoral work.",21
Apoorvaa Pandit and Dipak Zade,"An anthropologist by training, Apoorvaa Pandit is Principal Research Investigator, Nutrition Study, Watershed Organisation Trust (WOTR), Knowledge Management Unit, Pune. Her prime areas of work and interest have been tribal culture, rural development, social change and community health. Her recent publications Watershed Development Inputs and Social Change and Tribal Culture and Technology are leading contributions to the field of applied anthropology and theory.Dipak Zade has done his Masters in Anthropology from Pune University. As Senior Researcher in Watershed Organisation Trust (WOTR), Knowledge Management Unit, Pune, he is engaged in work related to climate change adaptation in rural semi-arid regions. His major areas of interest are adaptive sustainable agriculture and food security in a changing climate scenario. ",22
"V. Ratna Reddy, M. Gopinath Reddy and John Soussan"," An economist specializing in environmental economics and natural resources management, V. Ratna Reddy is Director, Livelihoods and Natural Resource Management Institute, Hyderabad, India. He was a Research Fellow of the Alexander von Humboldt Foundation, Germany and also a visiting fellow at the Institute of Development Studies, Sussex, and at the School of Geography, University of Leeds, UK. Besides natural resources management and environmental economics, his current research interests include livelihoods analysis and agricultural policy. In addition to six books, he has more than hundred articles published in international and Indian journals.  A political scientist and public administration specialist, M. Gopinath Reddy is Professor and Head, Research Unit for Livelihoods and Natural Resources at the Centre for Economic and Social Studies, Hyderabad. He specializes in decentralized governance, livelihoods and poverty analysis and institutional approaches to natural resource management. He has to his credit more than 35 publications in national journals and has also edited some books.  A geographer by training, John Soussan is Professor at York University and research leader of the water group in the Stockholm Environment Institute. His main areas of interest are in resource-livelihood relationships, poverty reduction strategies and the links between policy processes and local level development.",23
Rakesh Hooja and R.K. Choubisa (Eds.)," Rakesh Hooja, Ph.D. in Social Sciences, taught at University of Rajasthan before joining IAS in 1974. He has worked on important positions in both Government of India and Government of Rajasthan, and also as Vice Chancellor, Rajasthan Agricultural University. Besides 375 articles, reviews, research papers and commentaries, he has also authored/edited 24 books and 21 monographs. Two of his authored books have won Government of Rajasthan awards. Besides management and organizational behaviour, his writings have focused on land-water management, decentralization and district planning, development administration and theory. He is the Editor-in-Chief, “Prashasnika, ” Editor, “ASTI Journal of Training  Development, ” and on the Editorial Board of “Management in Government, Administrative Change” and Indian Book Chronicle.  Presently, he is Additional Chief Secretary to the Government of Rajasthan and Director, HCM Rajasthan State Institute of Public Administration, Jaipur.  R.K. Chobisa obtained his M.A. and M.Phil degrees in Public Administration from the University of Rajasthan. He has attended Training of Trainers Courses at Thames Valley University, and RIPA International, London, and is a national resource person in the area of training design and management. Currently, he is Associate Professor of Public Administration in the HCM Rajasthan State Institute of Public Administration, Jaipur.",24
D.C. Sah,"D.C. Sah, an agricultural economist, is Professor and Director at M.P. Institute of Social Science Research, Ujjain. His research interests have focused on economic-sociological aspects of equity and ecology in sustainable common resource management, agricultural development problems and policies, second-generation problems of development displacement and chronic poverty. He has published several books and articles in these areas.",25
Roger D. Norton,,26
G.S. Narwani,"G.S. Narwani is former Special Secretary, Rural Development, Government of Rajasthan.",27
Ram Kumar Gurjar and B.C. Jat,"रामकुमार गुर्जर वर्तमान में भूगोल विभाग, राजस्थान विश्वविद्यालय, जयपुर में सहायक प्रोफेसर के पद पर कार्यरत हैं। आपने पिछले एक दशक से निरन्तर शोध कार्य में संलग्न रहते हुए भूगोल शास्त्र में जल संसाधन एवं उसके प्रबन्ध की अवधारणा को सशक्त किया है।डाॅ. गुर्जर द्वारा किये गये जल एवं भूमि प्रबन्धन पर शोध कार्यों की उत्कृष्टता के आधार पर भारत सरकार के विज्ञान एवं प्रौद्योगिकी विभाग ने इन्हें ‘यंग साइन्टिस्ट अवार्ड’ प्रदान किया है। इससे पूर्व आपने विभिन्न संस्थाओं, यथा विश्व कृषि विकास निगम, रोम, विश्वविद्यालय अनुदान आयोग, नई दिल्ली, भारतीय सामाजिक अनुसंधान परिषद्, नई दिल्ली आदि द्वारा अनुदानित अनेक विकास शोध परियोजनायें प्रतिपादित कर चुके हैं। इसके अतिरिक्त आपके विभिन्न पत्र-पत्रिकाओं में अनेक शोध-पत्र भी प्रकाशित हुए हैं।बी.सी. जाट ने विगत एक दशक से निरंतर शोधरत् रहते हुए जल संसाधन एवं जलग्रहण प्रबंधन की अवधारणा को सशक्त किया है। इसी सन्दर्भ में आपने रिमोट सेन्सिंग एवं भौगोलिक सूचना तंत्र में भारतीय सुदूर संवेदन संस्थान, देहरादून से विशिष्ठ पाठ्यक्रम कर भूगोलशास्त्र में जल प्रबंध की तकनीक को नया आयाम दिया है। इससे पूर्व डाॅ. जाट जल एवं पर्यावरण के सन्दर्भ में भूगोल विषय पर एक दर्जन पुस्तकें तथा अनेक शोध-पत्र प्रकाशित भी कर चुके हैं। सम्प्रति, आप भूगोल विभाग, राजकीय स्नातकोत्तर महाविद्यालय, नीमकाथाना (राजस्थान) में व्याख्याता के पद पर कार्यरत हैं।",28
R.N. Athavale,"Dr. R.N. Athavale, an Emeritus Scientist with the Council of Scientific and Industrial Research, is a pioneer in water harvesting with over forty years’ research experience in fields such as isotope hydrology, natural and artificial recharge of aquifers and sustainable supply of potable water. He has worked at the Tata Institute of Fundamental Research, the University of Copenhagen, the International Crops Research Institute for Semi-Arid Tropics and the National Geophysical Research Institute. Dr. Athavale has published 150 research papers and reports in national and international journals.",29
Jayantha Perera,"Jayantha Perera is a development anthropologist with thirty years of professional experience in agrarian research, institutional and community development, irrigation water management and resettlement planning in Asia. He has held senior positions in the government sector of Sri Lanka, including Senior Deputy Director of the Agrarian Research and Training Institute and Senior Research Fellow at the Institute of Policy Studies. He was the Editor of the “Sri Lankan Journal of Agrarian Studies” (1982-1986). He has taught at Oxford University and several other universities and has served as consultant to various international agencies. He is the author of several books including “Conflict and Settlement: A Portrait of a Sri Lankan Village” and “New Dimensions of Social Stratification in Rural Sri Lanka.”",30
V.C. Jha (Ed.)," V.C. Jha is Professor and former Head, Department of Geography, Visva-Bharati University, Santiniketan, West Bengal.  Having a distinguished academic career, he received Bhabha Atomic Research Centre Research Fellowship in Geology for his doctoral degree. Prior to joining Visva-Bharati University in 1986, he worked for the National Remote Sensing Agency, Hyderabad posted at IIRS, Dehradun.  Dr. Jha has numerous research papers to his credit and has published books as well. He has travelled widely and participated in the various workshops/conferences and IAG EC meetings.",31
Rakesh Hooja ,"Rakesh Hooja is presently Joint Secretary, Ministry of Home Affairs, Government of India, New Delhi. Earlier, he has held several important assignments in Government of Rajasthan including Area Development Commissioner, Indira Gandhi Canal Project, Secretary, Command Area Development and Water Utilization and Commissioner, Agriculture Development Project.He is a prolific writer and has, to his credit, over 300 articles, reviews and research papers and 18 books. His areas of interest include land and water management, decentralized and district planning, rural development, participatory irrigation management, watershed management, and development administration.He spent a year at School of Development Studies, University East Anglia, UK and has attended a short course at International Irrigation Centre, Utah State University, USA besides having visited irrigation systems in Canada, USA, Chile, Argentina and Egypt.",32
L.K. Joshi and Rakesh Hooja (Eds),"L.K. Joshi, IAS, has been very closely associated with participatory irrigation management (PIM) as Joint Secretary in the Ministry of Water Resources, Government of India. He is also the President of Indian Network on Participatory Irrigation Management, an NGO working for the promotion of PIM. Besides, he has also been associated with various agencies working in the field, such as Indian Water Resources Society, Narmada Valley Development Authority, National Centre for Human Settlement and Environment, etc.Rakesh Hooja, IAS, is presently Joint Secretary, Ministry of Home Affairs, Government of India. He has also been actively involved in the sector of water resources and rural development. He is a prolific writer and has written and edited sixteen books on irrigation reforms, rural development and related disciplines. As Secretary in the Department of Command Area Development and Water Use in Rajasthan, he gave tremendous push to PIM. He is an active member of Indian Water Resources Society and Vice President of Indian Network on Participatory Irrigation Management.",33
G.V. Joshi ,"G.V. Joshi is Professor and Chairman of the Post-Graduate Department of Economics, Mangalore University, Mangalore. The research training that he acquired at the Gokhale Institute of Politics and Economics, Pune and the Institute for Social and Economic Change, Bangalore, has enabled him to adopt interdisciplinary approach to teaching and research in economics. He has participated in several national and international conferences and seminars and has contributed a number of articles and research papers to leading journals.",34
 B.C. Barik (Ed.),"B.C. Barik is Professor of Sociology and Head, School of Social Sciences, Swami Ramanand Teerth Marathwada University, Nanded, Maharashtra. He has published two books and more than two dozen research papers in the reputed social science journals. His main academic interest areas are agrarian structure, irrigated agriculture and water management, and weaker sections.",35
Rakesh Hooja and Rajendra Joshi (Eds.),"Rakesh Hooja, IAS, taught at the University of Rajasthan prior to joining the Indian Administrative Service in 1974.",36
T.C. Sharma,"T.C. Sharma taught geography for over three decades at the Rani Parvati Devi College, Belgaum—a renowned seat of learning in Karnataka. He retired as Professor of Geography and Principal of this College in 1995. He has kept himself constantly engaged in research and writing and has, to his credit, several books and numerous research papers.",37
A. Venkateswarlu,"A. Venkateswarlu teaches Economics in Government Degree Colleges, affiliated to Kakatiya University, Andhra Pradesh.",38
"Rakesh Basant, B.L. Kumar and R. Parthasarathy","Rakesh Basant is Associate Professor at the Indian Institute of Management, Ahmedabad.B.L. Kumar is Assistant Professor at the Gujarat Institute of Development Research, Ahmedabad.R. Parthasarathy is Associate Professor at the Gujarat Institute of Development Research, Ahmedabad.",39
Yaseen Khan,"Yaseen Khan is at present, associated with Madhya Pradesh Science Academy, Bhopal.",40
V.S. Vyas and Pradeep Bhargava (Eds.),"Vijay Shankar Vyas is an internationally known authority on agricultural policies and rural development. Pradeep Bhargava is a Senior Fellow at the Institute of Development Studies, Jaipur.",41
V. Ratna Reddy,"V. Ratna Reddy is a Fellow at the Institute of Development Studies, Jaipur.",42
H.S. Srivastava,H.S. Srivastava retired as Chief Engineer from the Irrigation Department of government of Rajasthan.,43
Harish Nayyar and P. Ramaswamy (Ed.),"Harish Nayyar, Director, National Institute of Agricultural marketing (NIAM), jaipur joined the Indian Administrative Services in 1967 after doing his BA (Hons.) Economics from St. Stephen’s College, Delhi University and Master’s degree in Economics from Delhi School of Economics.P. Ramaswamy has been active in the field of agricultural marketing for more than three decades.",44
Rakesh Hooja and P.S. Kavdia (Eds.),"Rakesh Hooja IAS, is Secretary, command Area Development and Water Utilisation, government of Rajasthan.P.S. Kavdia is Superintending Engineer and Technical Assistant to chief Engineer—Irrigation, Government of Rajasthan.",45
Ram Kumar Gurjar (Ed.),"Ram Kumar Gurjar (b 1956) holds Ph.D. with expert knowledge on the Indira Gandhi Canal Command Area. Currently, he is Assistant Professor of Geography, University of Rajasthan, Jaipur.",46
Salahuddin Qureshi,"Salahuddin Qureshi is presently Associate Professor the Department of Geography, Aligarh Muslim University and has contributed widely in National and International Journals.",47
Malli Gandhi,"Malli Gandhi is presently working as Professor of History at Regional Institute of Education, NCERT, Mysore. His areas of interest are nomadic, semi-nomadic and denotified communities. He has published articles on criminal tribes, nomadic, semi-nomadic and denotified tribes in international and national journals. His earlier works on tribes include Development of Denotified Tribes: Policy and Practice (2006); Denotified Tribes: Dimensions of Change (2008); Tribes under Stigma: Problems of Identity (2009); Denotified Tribes: Retrospect and Prospect (2014); Educating Tribal Children: Issues, Concerns and Remedies (2014); Denotified Tribes: Retrospect and Prospect (2016) and Educating Ex-Criminal Tribes: Issues and Concerns (2017).",48
V. Srinivasa Rao (ed.),"V. Srinivasa Rao is Associate Professor and Head, Centre for Regional Studies, School of Social Sciences, University of Hyderabad, India.",49
एस.एल. दोषी एवं पी.सी. जैन (S.L. Doshi and P.C. Jain),"एस.एल. दोषी ने लगभग 40 वर्षों तक जनजातीय समाज के क्षेत्र में अनुसंधन कार्य किया है। आपने मोहनलाल सुखाड़िया विश्वविद्यालय, उदयपुर, साउथ गुजरात विश्वविद्यालय, सूरत, महर्षि दयानन्द विश्वविद्यालय रोहतक में अध्यापन व अनुसंधान कार्य किया है। आप द्वारा किये गये जनजाति विषयक अनुसंधानों को विश्वविद्यालय अनुदान आयोग, नई दिल्ली, भारतीय सामाजिक अनुसंधान परिषद, नई दिल्ली तथा भारत सरकार द्वारा प्रायोजित किया गया है।पी.सी. जैन जनादर्न राय नागर राजस्थान विद्यापीठ विश्वविद्यालय, उदयपुर में विभागाध्यक्ष एवं आचार्य पद पर कार्य कर चुके हैं। आपको अनुसंधान व अध्यापन का 33 वर्षों का अनुभव है। आपने पाठ्यपुस्तकों के साथ-साथ संदर्भ ग्रन्थों का भी लेखन कार्य किया है। आपके सामाजिक आन्दोलन, सामाजिक स्तरीकरण और सामाजिक परिवर्तन से सम्बंधित अनेक लेख एवं पुस्तकें प्रकाशित हैं।",50
Madhu Nagla,"Madhu Nagla is former Professor and Head, Department of Sociology, M.D. University, Rohtak. She served as the President of Research Committee 13 ‘Sociology of Leisure’ of the International Sociological Association (2016–18). Her core areas of interest are gender, health, leisure and food studies. She has travelled widely for national and international conferences and has also published numerous articles in journals of national and international repute. Her earlier published works include Sociology of Health and Medicine, Sociology of Health, Gender and Health and Sociology of Medical Profession.",51
Thomas Hylland Eriksen,"Thomas Hylland Eriksen is Professor of Social Anthropology at the University of Oslo and former President of the European Association of Social Anthropologists. He is the author of numerous classics of anthropology, including Small Places, Large Issues and What is Anthropology?",52
Ron Eyerman and Andrew Jamison,"Ron Eyerman is Professor of Sociology at the University of Lund, Sweden.Andrew Jamison is Associate Professor in Science and Technology Policy at the University of Lund, Sweden.",53
Henrietta L. Moore (ed),Henrietta Moore is Professor of Social Anthropology and Director of the Gender Institute at the London School of Economics and Political Science.,54
Rashmi Sinha (ed.),"Rashmi Sinha is a Professor of Anthropology, School of Social Sciences, Indira Gandhi National Open University (IGNOU), New Delhi. An alumni of University of Delhi, she also served as an ad-hoc Lecturer in the Department of Anthropology, University of Delhi, Delhi and she has also worked under the Women Scientist Scheme of Department of Science and Technology. She is member of various professional bodies. To her credit she has publications in national and international journals of repute and has also participated in national and international conferences/ seminars/ workshops in various capacities. Professor Sinha has carried extensive fieldwork in her areas of interest, which includes, Growth and Development, Human Physiology and Obesity Research in Physical Anthropology.",55
Rashmi Sinha (Ed.),"Rashmi Sinha is a Professor of Anthropology, School of Social Sciences, Indira Gandhi National Open University (IGNOU), New Delhi. An alumni of University of Delhi, she also served as an ad-hoc Lecturer in the Department of Anthropology, University of Delhi, Delhi and she has also worked under the Women Scientist Scheme of Department of Science and Technology. She is member of various professional bodies. To her credit she has publications in national and international journals of repute and has also participated in national and international conferences/ seminars/workshops in various capacities. Professor Sinha has carried extensive fieldwork in her areas of interest, which includes, Growth and Development, Human Physiology and Obesity Research in Physical Anthropology.",56
Sunkari Satyam,"Sunkari Satyam is Assistant Professor, Council for Social Development, Hyderabad. He has been engaged in social science researches, with primary focus on rural poverty, social justice, welfare and developmental policies of Adivasis and Dalits, and women in panchayati raj institutions. He has contributed many research papers, articles, commentaries and opinion write-ups to leading newspapers, journals and books. His recently published books include Women in Gram Panchayats and Poverty Elimination in Rural India.",57
Tarun Mene and Sarit K. Chaudhuri (eds.),"Tarun Mene, who belongs to Idu Mishmi community, has a Masters and PhD degree in Anthropology. He is currently Assistant Professor in the Arunachal Institute of Tribal Studies (AITS), Rajiv Gandhi University, Arunachal Pradesh. He has published series of research papers in various reputed journals and books on tribal issues concerning Arunachal Pradesh. His prime area of research interest includes suicide along with various other sociocultural aspects of tribal life.Sarit K. Chaudhuri is a Professor of Anthropology and currently working as the Director, National Museum of Mankind (IGRMS), Bhopal. During 2003–05, as a postdoctoral fellow of SOAS, UK, he worked in a five years collaborative project of SOAS, British Museum, CCRD and Rajiv Gandhi University, Arunachal Pradesh. He also worked with Anthropological Survey of India, Shillong and Rajiv Gandhi University, Arunachal Pradesh in the Department of Anthropology and AITS. He has published 13 books and 52 research papers. Currently, he is the editor of Humankind, an annual journal of IGRMS. He is also a member of the ‘Think Tank’ formed by the Ministry of Culture, Government of India.",58
B.K. Nagla and Vinay Kumar Srivastava (Eds),"B.K. Nagla served as Professor of Sociology, M.D. University, Rohtak.He has researched at Jawaharlal Nehru University, New Delhi, and also taught at M.S. University, Baroda and National Institute of Criminology and Forensic Science, New Delhi. After retirement, he also worked as consultant at Kota Open University and as Professor on Babu Jagjivan Ram Chair at Banaras Hindu University, Varanasi. Nagla has published about twelve books and about seventy research papers in national and international journals. The ISC-Fellow Award was also bestowed on him for his contribution to sociology and criminology. At present, he is the editor of Indian Sociological Society (ISS) Hindi journal entitled Bhartiya Samajshastra Samiksha.Vinay Kumar Srivastava is Director, Anthropological Survey of India, Kolkata. He taught both Sociology and Social Anthropology at the University of Delhi for more than 41 years. He was also the Principal of Hindu College, Delhi and served the University of Delhi as Head of the Anthropology Department. Professor Srivastava has broadly contributed to Sociological and Anthropological Theory and Anthropology of Religion.",59
